,smiles,weight,logp,rotatable_bonds,tpsa,rings,AroRings,h_donors,h_acceptors
424,CCOC(=O)C1C(C)=NC(=S)NC1c1ccc(O)c(O)c1,308.35900000000004,1.6672,3,91.15,2,1,3,5
425,NC1(C(=O)O)C(F)CC2C(C(=O)O)C21,203.169,-0.5428999999999999,2,100.62000000000002,2,0,3,3
426,CCC1CN2CCC3(O)C(=Nc4cccc(-c5ccoc5)c43)C2CC1C(=COC)C(=O)OC,450.53500000000025,4.044000000000003,5,84.50000000000001,5,2,1,7
427,COc1ccc2cnc3c(C(=O)NCc4cccs4)cnn3c2c1,338.39200000000005,2.882600000000001,4,68.52,4,4,1,6
428,CCOC(=O)C1C(CC)=NC(=S)NC1c1cccc(O)c1,306.38700000000006,2.3517,4,70.92,2,1,2,4
429,CN(C)C(=O)Cc1c(-c2ccc(F)cc2)nc2ccc(F)cn12,315.32300000000004,2.9102000000000015,3,37.61,3,3,0,3
430,O=C(Nc1c(-c2cccs2)nc2ccc(-c3cccs3)cn12)c1ccccc1,401.516,6.043600000000004,4,46.400000000000006,5,5,1,5
431,Cc1ccc2nc(-c3cccs3)c(NC(=O)c3ccc(Cl)cc3)n2c1,367.86100000000005,5.276920000000003,3,46.400000000000006,4,4,1,4
432,O=C(Nc1c(-c2cccs2)nc2ccc(Br)cn12)c1ccc(Oc2ccccc2)cc1,490.3820000000001,6.869900000000004,5,55.63000000000001,5,5,1,5
433,O=C(Nc1c(-c2cccs2)nc2ccc(Br)cn12)c1ccccc1,398.285,5.077600000000003,3,46.400000000000006,4,4,1,4
434,CCC1CN2CCC3(O)C(=Nc4cccc(C)c43)C2CC1C(=COC)C(=O)OC,398.5030000000002,3.0924200000000015,4,71.36,4,1,1,6
435,COc1ccc2cnc3c(C(=O)NCc4ccco4)cnn3c2c1,322.32400000000007,2.4141000000000004,4,81.66,4,4,1,6
436,O=C(Nc1c(-c2cccs2)nc2ccc(-c3ccccc3)cn12)c1ccccc1,395.487,5.982100000000005,4,46.400000000000006,5,5,1,4
437,CCC1CN2CCC3(O)C(=Nc4cccc(-c5ccccc5)c43)C2CC1C(=COC)C(=O)OC,460.57400000000024,4.451000000000004,5,71.36,5,2,1,6
438,CC1CCC(C(C)C)C(OC(=O)OC(C)OC(=O)C2C3CC(F)C(N)(C(=O)O)C32)C1,429.4850000000002,2.8757,6,125.15000000000002,3,0,2,7
439,O=C(Nc1c(-c2cccs2)nc2cc(Br)ccn12)c1ccc(Cl)cc1,432.73,5.7310000000000025,3,46.400000000000006,4,4,1,4
440,O=C(Nc1c(C2CCCC2)nc2ccc(Br)cn12)c1ccccc1,384.27700000000004,5.006700000000004,3,46.400000000000006,4,3,1,3
441,O=C(Nc1c(-c2cccs2)nc2ccc(C(F)(F)F)cn12)c1ccc(Cl)cc1,421.831,5.987300000000003,3,46.400000000000006,4,4,1,4
442,O=C(O)CC1CCNC1,129.159,0.07060000000000005,2,49.33,1,0,2,2
443,N=C1NC(CC(=O)O)CS1,160.198,0.10087000000000018,2,73.18,1,0,3,3
