,SMILES
79,Nc1ccc(C(=O)O)c(Cl)n1
80,N=C1CCC(C(=O)O)CN1
81,O=C(O)CC1CN=CN1
82,NC1=NC(CC(=O)O)CN1
83,O=C(O)Cc1c[nH]cn1
84,CCc1nc(N)ccc1C(=O)O
85,NCc1cnn(O)c1Cl
86,Cc1cc(Cc2nc3n(n2)Cc2c(C)ncn2-c2ccc(O)cc2-3)on1
87,CCCCN(C)C(=O)Cc1c(-c2ccc(OC)cc2)nc2c(Cl)cc(Cl)cn12
88,CN(C(=O)Cc1c(-c2ccc(O)cc2)nc2c(Cl)cc(Cl)cn12)c1ccccc1
89,NCc1cn(O)nc1I
90,Cc1c(CN)o[nH]c1=O
91,Cc1nn(O)cc1CN
92,COc1ccc(-c2nc3c(Cl)cc(Cl)cn3c2CC(=O)N(C)c2ccccc2)cc1
93,Cc1nc2n(n1)Cc1c(C)ncn1-c1ccc(Br)cc1-2
94,COc1ccc2c(c1)CCc1cc(O)cc(OC)c1-2
95,Cc1cc(Cc2nc3n(n2)Cc2c(C)ncn2-c2ccccc2-3)on1
96,CCc1cc(N)ncc1C(=O)O
97,CCc1cccc(CC)c1O
98,Cc1cc(Cc2nc3n(n2)Cc2c(C)ncn2-c2ccc(Br)cc2-3)on1
99,CN1C(=O)COc2cc(Nc3cc4c(cc3F)ncn4CC3CC3)cnc21
100,O=C(NCc1ccc(F)cc1)C(=O)c1c[nH]c2ccccc12
101,Clc1ccc(-n2nc3c4c(ncc3c2Oc2ccccc2Cl)CCCC4)cc1
102,CC(C)(C)OC(=O)NC(c1ccccc1)C(F)(F)C(=O)c1ccc2c(c1)OCO2
103,On1cc2c(n1)CCNC2
104,NCc1cn(O)nc1CCc1ccncc1
105,Cc1c(CN)cnn1O
106,O=C(O)C1CCNCC1
107,On1ncc2c1CCNC2
108,CC=CC=CC(O)C(F)(F)C(=O)C=CCCCC
109,CC(N)Cn1ncc2ccc(O)cc21
110,CCc1ccc(C(O)C(F)(F)C(=O)C23CC4CC(CC(C4)C2)C3)cc1
