SMILES
CC(C)CCCC(C)CCCC(C)CCCC(=O)C
CC(=O)CC(C)(C)O
CCCCCO
CCCCCCCCCCCCCCCCCCCCCCCC
CCCCCCCCCCCCCCCCCCCCCCC
CCC=CCC=CCC=CCCCCCCCC(=O)OC
CCCCCCCCCCCCCCCC(=O)O
CCCCCCCCCCCCCCCC(=O)OC
CC(C)CC=O
CCCCCCCCCCCCCCCCCCCCCCCCCC
CCC(C)C=O
CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C
CCCCCCCCCCCCCCCCCCCCCCCCCCC
CC(C)CCCC(C)CCCC(C)CCCC(=C)C=C
CC=CC(=O)C1=C(CCCC1(C)C)C
CC1=CCCC(=C)C2CC(C2CC1)(C)C
CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
CC(=CCCC(=CCC=C(C)C=C)C)C
CC1CCC2C(CC=CC2(O1)C)(C)C
CC1=CCC(C=CCC(=CCC1)C)(C)C
CC1(C2CCC1(C(C2)OC=O)C)C
CC1=CCC(CC1)C(=CCC=C(C)C)C
CC1=CCC2C(C1C2(C)C)O
CC1=CCC(C=CCC2(C(O2)CC1)C)(C)C
CC(C)C1CCC2(C1C3C2CCC3=C)C
CC1=CCC2C3C1C2(CCC3C(C)C)C
CC1(C2CCC(C2)(C1=O)C)C
CC1=CCC(CC1)C2(CCC(C(O2)(C)C)O)C
CC1=CC2C(CCC(=C2CC1)C)C(C)C
CC(C)CCCC(C)CCCC(C)CCCC(=CCO)C
CC(=CCCC(C)(C=C)OC(=O)C)C
CC(=CCCC(C)(C=C)O)C
CC(=CCC(COC(=O)C)C(=C)C)C
CC1=CCC(CC1)C(C)(C)O
CC(=CCCC(=CCOC(=O)C)C)C
CC1(CC2C1CCC3(C(O3)CCC2=C)C)C
CC1(C2CCC(O1)(CC2)C)C
CC(=CCCC(=CCOC(=O)C)C)C
CC1=CCCC(=C)C2CC(C2CC1)(C)C
CC1(C2CCC1(C(C2)O)C)C
CC1=CC2C(CCC(C2CC1)(C)O)C(C)C
CC(=CCCC(=CCO)C)C
CC1=CCC(CC1)(C(C)C)O
CC(=CCCC(=C)C=C)C
CC1=CCC(CC1)C(=C)C
