Code,SMILES
P1157451,COc1cc(-c2cc(=O)c3cc(Br)ccc3o2)ccc1O
P1157775,COc1ccc(S(=O)(=O)NCCc2c[nH]c3ccc(F)cc23)cc1
P1157828,O=C(CCCn1c(=O)[nH]c2ccccc2c1=O)NCc1ccncc1
P1158053,CC(=O)c1ccccc1C(=O)NCCc1c[nH]c2ccc(F)cc12
P1158064,O=C(NCCc1c[nH]c2ccccc12)c1cc(O)nc2ccccc12
P1159125,COc1cc(NC(=O)c2ccccc2-n2cnnn2)cc(OC)c1
P1261986,O=C1c2cccc3cccc(c23)C(=O)N1Cc1nnc(Nc2ccccc2)s1
P1264384,Cc1ccc(OCC(O)Cn2c(N3CCOCC3)nc3c2c(=O)[nH]c(=O)n3C)cc1C
P1290310,COCCCn1c(C(=O)NCc2ccco2)cc2c(=O)n(C)c(=O)n(C)c21
P1304512,COc1ccc(C2c3c(-c4cc(C)ccc4O)n[nH]c3C(=O)N2CCCOC(C)C)cc1
P1305861,Cc1cccc(CSc2nnc(NC(=O)c3cc(-c4cccs4)on3)s2)c1
P1305868,Cc1ccc(CSc2nnc(NC(=O)c3cc(-c4cccs4)on3)s2)cc1
P1306498,O=C(COc1ccc(-n2cnnn2)cc1)Nc1nc2ccc(F)cc2s1
P1306531,Cc1cc(C)c2nc(NC(=O)COc3ccc(-n4cnnn4)cc3)sc2c1
P1306962,CCC(CC)C(=O)Nc1nonc1-c1ccc2c(c1)CCCC2
P1307192,Cc1nonc1COc1ccc(C(=O)Nc2nnc(SCc3cccc4ccccc34)s2)cc1
P1307525,Cc1c(C(=O)N2CCC(c3nc4ccccc4[nH]3)CC2)oc2ccc(Cl)cc12
P1307629,CN(Cc1ccccc1)c1nn2cnnc2c2ccccc12
P1307667,Cc1c(C(=O)N2CCC(c3nc4ccccc4[nH]3)CC2)oc2ccccc12
P1308285,COC(=O)c1c(NC(=O)c2cc(=O)c3c(C)cc(C)cc3o2)sc2c1CCC2
P1308559,CCOc1ccc(-c2nsc(NC(=O)c3ccccc3)n2)cc1OC
P1309260,O=C(NCc1csc(-c2ccccc2)n1)c1ccccc1[N+](=O)[O-]
P1309463,CC(C)(CNC(=O)c1cc(-c2ccc(Br)cc2)on1)N1CCOCC1
P1310389,Cc1cc2oc(C(=O)NCC(c3ccco3)N3CCCC3)cc(=O)c2cc1Cl.Cl
P1444389,COc1cc2c(cc1OC)C(c1ccccc1[N+](=O)[O-])=NCC2
P1519522,N#CCC(=O)c1c[nH]c2ccccc12
P1582853,Cc1ccccc1Nc1nc(Nc2ccccc2)nc2c1cnn2C
P1665608,CCc1ccc(C2C(C(=O)c3ccc(OC)cc3C)=C(O)C(=O)N2CCCN(C)C)cc1
P1667425,Cc1ccc2occ(/C=N/Nc3oc(C)nc3C#N)c(=O)c2c1
P1670159,CCNC(=O)c1c(NC(=O)C(C)Oc2ccccc2OC)sc2c1CCCC2
P1673125,COCCCn1c(=N)c(C(=O)NC(C)c2ccccc2)cc2c(=O)n3ccccc3nc21
P1675915,C=CCOC(=O)C1=C(C)N=C2SCCC(=O)N2C1c1ccc(OCCCC)c(OCC)c1
P1679784,Cc1ccc(C)c(C(=O)C2=C(O)C(=O)N(c3nnc(C)s3)C2c2ccc(C(C)C)cc2)c1
P1682874,Cc1cc2oc(C(=O)Nc3nnc(C(C)C)s3)c(C)c2cc1C
P1685364,C=CCSc1nnc(NC(=O)c2oc3c(C)c(C)ccc3c2C)s1
P1685368,C=CCSc1nnc(NC(=O)c2cccc(OC)c2)s1
P1685758,CCCSc1ncc(Cl)c(C(=O)Nc2sc3c(c2C(=O)OC)CCC3)n1
P1686297,CCSc1ncc(Cl)c(C(=O)Nc2nnc(SCc3ccc(C)cc3)s2)n1
P1686315,COCCCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccccc1F
P1686431,COC(=O)c1c(NC(=O)Cc2coc3ccc(C)cc23)sc2c1CCC2
P1686846,COc1ccc(NC(=O)c2oc3ccccc3c2NC(=O)Cc2coc3ccc(C)cc23)cc1
P1686882,O=C1c2[nH]nc(-c3ccccc3O)c2C(c2ccc(Br)cc2)N1CC1CCCO1
P1687047,C=CCSc1nnc(NC(=O)Cc2coc3ccc(CC)cc23)s1
P1687127,COCCNC(=O)c1c(NC(=O)Cc2coc3cc(C)cc(C)c23)sc2c1CCCC2
P1688210,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(=O)c2cc(Cl)ccc2o1
P1688247,CCCSc1nnc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)s1
P1689078,CCCS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccccc2C(=O)OC)n1
P1690249,Cc1cc(C)c2nc(N3C(=O)C(O)=C(C(=O)c4ccncc4)C3c3ccc(F)cc3)sc2c1
P1692241,Cc1ccc2c(CC(=O)Nc3sc4c(c3C(=O)NCc3ccco3)CCC4)coc2c1
P1692661,CCOCCCNC(=O)c1c(NC(=O)Cc2coc3ccc(CC)cc23)sc2c1CCC2
P1692723,CCc1nonc1NC(=O)COc1ccc(Cl)c(C)c1
P1799671,O=C(c1c[nH]c2ccccc12)C1CCNCC1
P1799672,O=C(c1c[nH]c2ccccc12)C1CCCNC1
P2125358,CC(=O)c1ccc(OCCOc2ccc(C(C)=O)cc2)cc1
P2168245,c1ccc(-c2ccc3[nH]cc(C4CCNCC4)c3c2)cc1
P2187796,Cc1ccc2c(=O)cc(C(=O)NCC(c3ccco3)N3CCCC3)oc2c1.Cl
P2188818,Cc1ccc2c(C)c(C(=O)NCC(c3cccs3)N3CCOCC3)oc2c1C
P2189634,COc1ccc(Cn2nccc2NC(=O)c2cc(=O)c3cc(C)c(C)cc3o2)cc1
P2190442,CCc1ccc2oc(C(=O)NCCc3nc(-c4ccccc4)no3)c(C)c2c1
P2193072,Cc1ccc(-c2noc(C3CCN(S(=O)(=O)c4ccccc4)CC3)n2)cc1
P2193353,CN(Cc1ccccc1)c1oc(-c2ccccc2[N+](=O)[O-])nc1C#N
P2193864,COc1ccc(NC(=O)c2c(C)noc2-c2ccc(Cl)cc2)cc1Cl
P2194147,Cc1nc(C)c(-c2nnc(NC(=O)COc3c(C)cccc3C)o2)s1
P2194153,Cc1nc(C)c(-c2nnc(NC(=O)COc3ccccc3C)o2)s1
P2194200,COC(=O)CNC(=O)c1nc(SCc2ccc(C)cc2)ncc1Cl
P2194617,COC(=O)C(CC(C)C)NC(=O)CCc1nc(-c2ccc(Cl)cc2)no1
P2194997,Cc1cccc(OCCNC(=O)c2cc(-c3ccc(F)c(F)c3)on2)c1C
P2195316,COc1ccccc1OCCNC(=O)c1ccc(F)cc1
P2195663,COc1ccccc1OCCNC(=O)C(C)Oc1cccc(C)c1C
P2195980,COc1ccc2oc(C)c(C(=O)Nc3nc4ccc(C)cc4s3)c2c1
P2897178,O=c1cc(-c2ccc3c(c2)OCCO3)oc2ccc(Br)cc12
P3328909,Brc1ccc(-c2cc[nH]n2)s1
P3336886,Clc1ccc2nnc(-c3ccccc3)n2n1
P3459990,COc1cccc(F)c1-c1nc(C)c(C(=O)Nc2nc3ccccc3s2)s1
P3460666,O=C(NCCc1c[nH]c2ccccc12)c1cc(-c2cccnc2)nc2ccccc12
P3461471,COc1ccccc1C(=O)NCCNC(=O)c1c[nH]c2ccccc12
P3461982,O=C(Cc1csc(-c2c(Cl)cccc2Cl)n1)N[C@H](C(=O)O)c1ccccc1
P3462490,O=C(Cn1ccc2ccc(F)cc21)N[C@H](C(=O)O)c1ccccc1
P3462580,COc1ccc(OC)c(N2CC(C(=O)Nc3nccs3)CC2=O)c1
P3462717,CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)c3cc(C)nc4ccccc34)CC2)cc1
P3462968,COc1ccc2c(ccn2CC(=O)N[C@@H](C(=O)O)c2ccccc2)c1
P3463414,COc1ccc2[nH]cc(C(=O)CC#N)c2c1
P3694775,N#Cc1cccc(-c2nc3ncccc3o2)c1
P4347372,COc1nc(-c2cccs2)cc(-c2ccc(C)cc2)c1C#N
P4348957,c1ccc2c(OCc3nn4c(-c5ccncc5)nnc4s3)cccc2c1
P4351657,O=c1/c(=C/c2cccs2)sc2nc(C3COc4ccccc4O3)nn12
P4354686,CC(C)n1c(=N)c(C(=O)NCc2ccc(F)cc2)cc2c(=O)n3ccccc3nc21
P4357953,COC(=O)c1nnc2ccccc2c1O
P4802189,COc1ccc2nc(C)cc(NCCSc3cc(C)nc4ccc(OC)cc34)c2c1
P5051530195,CC1C2=C(CC(C)(C)CC2=O)OC2=C1C(=O)CC(C)(C)C2
P5081793,c1ccc(Cn2c(-c3ccncc3)nc3cccnc32)cc1
P6057656,Cc1sc2nc(CCCN3C(=O)c4cccc5cccc(c45)C3=O)n(CCO)c(=O)c2c1C
P6057744,CCOC(=O)c1ccc(CNC(=O)CSc2nc3sc(C(=O)O)c(C)c3c(=O)[nH]2)cc1
P6057791,CCOC(=O)c1c(NC(=O)CSc2nnc(Cc3csc(N)n3)n2C)sc(C)c1C
P6057819,CCOC(=O)c1c(NC(=O)CSc2nc(N)c3c(C)c(C)sc3n2)sc(C)c1C
P6137712,Cc1ccc(-c2nc(C(=O)Nc3ncnc4[nH]cnc34)c(-n3nc(C)cc3C)o2)cc1
P6138100,Cc1cc(C)c(O)c(-c2cc(C(=O)Nc3ccccc3)no2)c1
P6138200,Cc1ccc(C)c(NC(=O)CNC(=O)Cc2coc3cc(C)c(C)cc23)c1
P6138204,Cc1ccc(NC(=O)CNC(=O)Cc2coc3cc(C)c(C)cc23)c(C)c1
