Code,SMILES
P7211760048,COc1ccc(C(=O)CSc2nc(O)cc(O)n2)cc1OC
P7211730847,Cc1nc(NCCc2ccccc2)c2c3c(sc2n1)CCC3
P7211730815,Cc1nc(NCCc2ccccc2)c2c3c(sc2n1)CCCC3
P7211730273,Cc1sc2ncnc(Sc3nnnn3-c3ccccc3)c2c1C
P7211680021,Cc1oc2cc(O)ccc2c(=O)c1Oc1ccc(C(=O)O)cc1
P7211390117,N#Cc1c(N)sc2c1CCN(Cc1ccccc1)C2
P7211300030,COc1cc(C(CC(=O)c2ccc(Cl)cc2)SCCO)cc(OC)c1OC
P7139382,Oc1nc(O)c2c(n1)CCN(Cc1ccccc1)C2
P7135510,COC(=O)c1ccnc2c1CN(Cc1ccccc1)CC2
P7135509,COC(=O)c1cc(Cl)nc2c1CN(Cc1ccccc1)CC2
P7133109,CNCc1cc(O)nc2ccccc12
P7131707,Cc1csc(NC(=O)c2cc(-c3cccs3)nc3c2cnn3C(C)C)n1
P7130118,Cc1cc(C)n(-c2ccc3nnc(CCCC(=O)Nc4cc(F)c(F)c(F)c4)n3n2)n1
P7128054,NC(=O)CSc1oc(-c2ccco2)nc1S(=O)(=O)c1ccc(Cl)cc1
P7127870,COc1ccccc1NC(=O)CSc1oc(-c2ccc(F)cc2)nc1S(=O)(=O)c1ccccc1
P7127829,CCCS(=O)(=O)c1nc(S(=O)(=O)c2ccc(C)cc2)c(NCc2ccco2)s1
P7127779,CNc1oc(-c2ccco2)nc1S(=O)(=O)c1ccccc1
P7126930,O=C(CSc1nc2ccccc2c2nnnn12)NCc1cccc(Cl)c1
P7126910,O=C(CSc1nc2ccccc2c2nnnn12)NCC(=O)Nc1ncns1
P7126388,Cc1cccc(NC(=O)CSc2nc3c4ccccc4ncn3n2)c1
P7119985631,COc1ccc(-c2nonc2NC(=O)c2ccc(Cl)cc2Cl)cc1
P7119985581,Cc1cc(C)c2oc(C(=O)N(Cc3ccc(C)o3)C3CCS(=O)(=O)C3)c(C)c2c1
P7119982923,CCc1ccc(OC(C)C(=O)Nc2nonc2-c2ccc(OC)cc2)cc1
P7119981812,Cc1c(C(=O)N(Cc2ccco2)C2CCS(=O)(=O)C2)oc2ccccc12
P7119980719,Cc1ccc(O)c(-c2n[nH]c3c2C(c2ccccc2F)N(Cc2ccco2)C3=O)c1
P7119980244,O=C(C1=C(O)C(=O)N(c2nc3ccc(F)cc3s2)C1c1cccnc1)c1ccc2c(c1)OCCO2
P7119980108,O=C1c2[nH]nc(-c3ccccc3O)c2C(c2ccccc2F)N1Cc1ccncc1
P7119911570,c1ccc2c(Cn3c(CN4CCOCC4)nc4ccccc43)cccc2c1
P7119911520,Cc1ccccc1OCCCn1c(CCO)nc2ccccc21
P7119911519,OCCc1nc2ccccc2n1CCCOc1ccccc1Cl
P7119910488,C=CCN1CC(c2nc3ccccc3n2Cc2ccc3ccccc3c2)CC1=O
P7119910473,C=CCN1CC(c2nc3ccccc3n2CCCOc2cc(C)ccc2C)CC1=O
P7119910433,C=CCN1CC(c2nc3ccccc3n2Cc2ccc(Cl)c(Cl)c2)CC1=O
P7119910233,C#CCn1c(C2CC(=O)N(Cc3ccc(F)cc3)C2)nc2ccccc21
P7119910231,O=C1CC(c2nc3ccccc3[nH]2)CN1Cc1ccc(F)cc1
P7119910111,Cc1cccc(C)c1OCCn1c(C2CC(=O)N(C(C)(C)C)C2)nc2ccccc21
P7119910107,CC(C)(C)N1CC(c2nc3ccccc3n2CCOc2ccc(Cl)cc2)CC1=O
P7119891259,COc1ccc(CCNC(=O)c2c(N)n(CCc3ccc(F)cc3)c3nc4ccccc4nc23)cc1
P7119880874,Cc1cc(C)c(S(=O)(=O)Nc2c(C)cccc2C)cc1N(C)S(=O)(=O)c1ccccc1
P7119880824,CNS(=O)(=O)c1ccc2c(c1)C(=NO)c1cc(S(=O)(=O)NC)ccc1-2
P7119880822,CCCCNS(=O)(=O)c1ccc2c(c1)C(=NO)c1cc(S(=O)(=O)NCCCC)ccc1-2
