Code,Number of H-Donors,Number of H-Acceptors,Number of Rotatable bonds,CLogP,Number of Rings,PSA,ID,ROMol,Saltdata,SMILES
P0129730184,0,3,3,4.00E+00,4,7.85E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924447B0>,,O=C1c2ccccc2C(=O)N1c1ncc(Cc2ccc(Br)cc2)s1
P0134680930,2,4,5,2.60E+00,3,1.53E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444810>,,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)c1ccc(Br)s1
P1001757,0,4,4,4.80E+00,3,9.15E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444870>,,Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(C)c(C)c3C)C(C)C2)c(C)c1C
P1005856,1,3,4,3.20E+00,3,7.81E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924448D0>,,Cn1c(=O)n(C)c2cc(S(=O)(=O)Nc3cc(C(F)(F)F)ccc3Cl)ccc21
P1006703,1,5,5,3.90E+00,3,9.80E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444930>,,Cc1ccccc1NC(=O)CSc1nnnn1-c1c(C)cccc1C
P1006799,2,6,7,4.50E+00,4,1.27E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444990>,,Cc1ccc(C)c(-n2nnnc2SCC(=O)NC(c2nc3ccccc3[nH]2)C(C)C)c1
P1006825,1,7,6,3.60E+00,4,1.22E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924449F0>,,Cc1ccccc1-n1nnnc1SCC(=O)N(C)Cc1cc(O)nc2ccccc12
P1006901,1,4,4,3.70E+00,4,9.65E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444A50>,,Cc1ccc2oc(C(=O)Nc3ncc(Cc4ccccc4)s3)cc(=O)c2c1
P1007451,1,6,7,3.60E+00,3,1.07E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444AB0>,,COc1ccccc1NC(=O)CCSc1nnnn1-c1cccc(C)c1C
P1007630,1,4,4,3.60E+00,3,7.27E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444B10>,,Cc1ccccc1-c1nnn(CC(=O)Nc2c(C)cccc2C)n1
P1007640,1,4,5,3.60E+00,3,7.27E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444B70>,,CCc1ccccc1NC(=O)Cn1nnc(-c2ccccc2C)n1
P1032254,1,5,4,4.30E+00,4,9.57E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444BD0>,,Nc1c(-c2nc(-c3ccccc3)no2)nnn1-c1ccc(C(F)(F)F)c(Cl)c1
P1032258,1,5,4,4.60E+00,4,9.57E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444C30>,,CC(C)c1ccc(-n2nnc(-c3nc(-c4ccccc4Cl)no3)c2N)cc1
P1032338,0,4,3,4.80E+00,4,6.96E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444C90>,,Cc1ccccc1-c1noc(-c2nnn(-c3ccc(F)c(Cl)c3)c2C)n1
P1032346,0,4,4,4.90E+00,4,6.96E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444CF0>,,Cc1ccccc1-c1noc(-c2nnn(-c3cccc(C(F)(F)F)c3)c2C)n1
P1032360,0,4,3,4.30E+00,4,6.96E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444D50>,,Cc1c(-c2nc(-c3ccccc3Cl)no2)nnn1-c1ccc(F)cc1
P1087846,1,4,4,2.50E+00,2,6.80E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444DB0>,,O=C(O)Cc1cnnn1-c1cccc(C(F)(F)F)c1
P1087918,1,4,3,2.90E+00,2,6.80E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444E10>,,O=C(O)Cc1cnnn1-c1ccc(Cl)cc1Cl
P1089815,1,3,1,2.40E+00,3,5.23E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444E70>,,Nc1ccc2oc(-c3ccccc3)cc(=O)c2c1
P1099101,0,5,4,3.10E+00,4,6.86E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444ED0>,,C[C@@H](C(=O)N1CCN(Cc2ccccc2)CC1)n1nnc2ccccc2c1=O
P1102253,0,3,2,3.90E+00,3,3.55E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444F30>,,COc1ccccc1-c1cc(=O)c2cc(Br)ccc2o1
P1102254,0,3,2,4.40E+00,3,3.55E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392444F90>,,COc1ccc2c(=O)cc(-c3ccc(Cl)cc3Cl)oc2c1
P1106022,2,6,6,3.70E+00,3,8.49E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451030>,,CCOC(=O)c1ccccc1NCc1cc(=O)oc2cc(C)c(O)cc12
P1108180,1,4,3,4.70E+00,4,5.58E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451090>,,O=c1c2ccccc2oc2cc(OCc3c(F)cccc3F)cc(O)c12
P1108360,2,5,6,4.00E+00,4,1.06E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924510F0>,,Cc1coc2cc3oc(=O)c(CCC(=O)N[C@H](C(=O)O)c4ccccc4)c(C)c3cc12
P11181862,2,6,8,3.50E+00,4,1.19E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451150>,,CC(C)C(NC(=O)c1ccc(OCc2ccc(Cl)cc2)cc1)c1nc(-c2nnc[nH]2)no1
P11183124,1,6,9,3.20E+00,4,1.27E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924511B0>,,COC(=O)c1nc(NC(=O)CCCc2nnc3ccccn23)sc1Cc1ccccc1
P11183365,3,4,5,3.30E+00,5,1.07E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451210>,,CC(C)[C@H](NC(=O)C1CC(=O)N(c2n[nH]c3cccc(F)c23)C1)c1nc2ccccc2[nH]1
P11183580,3,4,5,3.50E+00,4,9.09E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451270>,,O=C(NCCCc1nc2ccccc2[nH]1)c1cnc2c(Cl)cccc2c1O
P11184017,2,4,6,4.00E+00,4,8.00E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924512D0>,,CC(C)n1c(CCCNC(=O)c2cnc3c(F)cccc3c2O)nc2ccccc21
P11184039,2,4,7,4.20E+00,4,8.00E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451330>,,Cn1c(CCCCCNC(=O)c2cnc3c(F)cccc3c2O)nc2ccccc21
P11184247,4,5,7,2.10E+00,4,1.21E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451390>,,O=C1CCc2ccc(OCC(=O)N[C@@H](Cc3c[nH]c4ccccc34)C(=O)O)cc2N1
P11184346,1,6,4,1.20E+00,4,1.34E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924513F0>,,Cn1nnc(-c2cccc(NC(=O)Cn3cnc4ccsc4c3=O)c2)n1
P11184424,1,6,7,2.90E+00,4,9.81E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451450>,,COc1ccc2cnn(CC(=O)N[C@H](c3nc4ccccc4n3C)C(C)C)c(=O)c2c1OC
P11184466,1,5,3,2.30E+00,5,9.26E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924514B0>,,Cc1nnnn1-c1ccccc1C(=O)N1CCC(c2nc3ccccc3[nH]2)CC1
P11185012,2,4,5,3.30E+00,5,9.59E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451510>,,CC(C)[C@H](NC(=O)C1CC(=O)N(c2n[nH]c3ccccc23)C1)c1nc2ccccc2n1C
P11185587,3,3,7,3.70E+00,3,7.80E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451570>,,Cc1n[nH]c(-c2ccc(Cl)cc2)c1CC(=O)N[C@H](CO)Cc1ccccc1
P11185836,0,5,4,2.50E+00,4,6.52E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924515D0>,,c1ccc(OCc2nc3nccc(-c4cccnc4)n3n2)cc1
P11185862,0,5,4,2.50E+00,4,6.52E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451630>,,c1ccc(OCc2nc3nccc(-c4ccncc4)n3n2)cc1
P1150019,2,2,4,3.70E+00,3,5.31E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451690>,,O=C(O)C(Cc1c[nH]c2ccccc12)c1ccccc1
P1157448,1,4,2,3.50E+00,3,5.58E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924516F0>,,COc1cc(-c2cc(=O)c3cc(Cl)ccc3o2)ccc1O
P1157451,1,4,2,3.60E+00,3,5.58E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451750>,,COc1cc(-c2cc(=O)c3cc(Br)ccc3o2)ccc1O
P1157775,2,3,6,3.10E+00,3,7.96E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924517B0>,,COc1ccc(S(=O)(=O)NCCc2c[nH]c3ccc(F)cc23)cc1
P1157828,2,4,6,8.00E-01,3,9.14E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451810>,,O=C(CCCn1c(=O)[nH]c2ccccc2c1=O)NCc1ccncc1
P1158053,2,2,5,3.20E+00,3,6.20E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451870>,,CC(=O)c1ccccc1C(=O)NCCc1c[nH]c2ccc(F)cc12
P1158064,3,3,4,3.70E+00,4,7.80E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924518D0>,,O=C(NCCc1c[nH]c2ccccc12)c1cc(O)nc2ccccc12
P1159125,1,6,5,1.50E+00,3,9.12E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451930>,,COc1cc(NC(=O)c2ccccc2-n2cnnn2)cc(OC)c1
P1261986,1,5,4,2.90E+00,5,1.03E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451990>,,O=C1c2cccc3cccc(c23)C(=O)N1Cc1nnc(Nc2ccccc2)s1
P1264384,2,7,6,1.60E+00,4,1.09E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B3924519F0>,,Cc1ccc(OCC(O)Cn2c(N3CCOCC3)nc3c2c(=O)[nH]c(=O)n3C)cc1C
P1290310,1,4,7,6.00E-01,3,9.70E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451A50>,,COCCCn1c(C(=O)NCc2ccco2)cc2c(=O)n(C)c(=O)n(C)c21
P1304512,2,5,8,4.20E+00,4,8.77E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451AB0>,,COc1ccc(C2c3c(-c4cc(C)ccc4O)n[nH]c3C(=O)N2CCCOC(C)C)cc1
P1305861,1,5,6,4.90E+00,4,1.63E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451B10>,,Cc1cccc(CSc2nnc(NC(=O)c3cc(-c4cccs4)on3)s2)c1
P1305868,1,5,6,4.90E+00,4,1.63E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451B70>,,Cc1ccc(CSc2nnc(NC(=O)c3cc(-c4cccs4)on3)s2)cc1
P1306498,1,6,5,2.20E+00,4,1.23E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451BD0>,,O=C(COc1ccc(-n2cnnn2)cc1)Nc1nc2ccc(F)cc2s1
P1306531,1,6,5,2.90E+00,4,1.23E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451C30>,,Cc1cc(C)c2nc(NC(=O)COc3ccc(-n4cnnn4)cc3)sc2c1
P1306962,1,3,5,4.80E+00,3,6.80E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451C90>,,CCC(CC)C(=O)Nc1nonc1-c1ccc2c(c1)CCCC2
P1307192,1,7,8,4.50E+00,5,1.57E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451CF0>,,Cc1nonc1COc1ccc(C(=O)Nc2nnc(SCc3cccc4ccccc34)s2)cc1
P1307525,1,2,2,4.90E+00,5,6.21E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451D50>,,Cc1c(C(=O)N2CCC(c3nc4ccccc4[nH]3)CC2)oc2ccc(Cl)cc12
P1307629,0,4,3,2.70E+00,4,4.63E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451DB0>,,CN(Cc1ccccc1)c1nn2cnnc2c2ccccc12
P1307667,1,2,2,4.20E+00,5,6.21E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451E10>,,Cc1c(C(=O)N2CCC(c3nc4ccccc4[nH]3)CC2)oc2ccccc12
P1308285,1,5,4,3.90E+00,4,1.10E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451E70>,,COC(=O)c1c(NC(=O)c2cc(=O)c3c(C)cc(C)cc3o2)sc2c1CCC2
P1308559,1,5,6,3.40E+00,3,1.02E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451ED0>,,CCOc1ccc(-c2nsc(NC(=O)c3ccccc3)n2)cc1OC
P1309260,1,4,5,3.10E+00,3,1.16E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451F30>,,O=C(NCc1csc(-c2ccccc2)n1)c1ccccc1[N+](=O)[O-]
P1309463,1,4,5,2.90E+00,3,6.76E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B392451F90>,,CC(C)(CNC(=O)c1cc(-c2ccc(Br)cc2)on1)N1CCOCC1
P1310389,1,4,5,3.90E+00,4,7.18E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D030>,HCl,Cc1cc2oc(C(=O)NCC(c3ccco3)N3CCCC3)cc(=O)c2cc1Cl.Cl
P1444389,0,5,4,3.40E+00,3,7.66E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D090>,,COc1cc2c(cc1OC)C(c1ccccc1[N+](=O)[O-])=NCC2
P1519522,1,2,2,1.90E+00,2,5.67E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D0F0>,,N#CCC(=O)c1c[nH]c2ccccc12
P1582853,2,5,4,3.50E+00,4,6.77E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D150>,,Cc1ccccc1Nc1nc(Nc2ccccc2)nc2c1cnn2C
P1665608,1,5,9,4.00E+00,3,7.01E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D1B0>,,CCc1ccc(C2C(C(=O)c3ccc(OC)cc3C)=C(O)C(=O)N2CCCN(C)C)cc1
P1667425,1,6,3,1.90E+00,3,1.01E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D210>,,Cc1ccc2occ(/C=N/Nc3oc(C)nc3C#N)c(=O)c2c1
P1670159,2,4,7,3.60E+00,3,1.05E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D270>,,CCNC(=O)c1c(NC(=O)C(C)Oc2ccccc2OC)sc2c1CCCC2
P1673125,2,5,7,1.10E+00,4,9.81E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D2D0>,,COCCCn1c(=N)c(C(=O)NC(C)c2ccccc2)cc2c(=O)n3ccccc3nc21
P1675915,0,7,11,4.70E+00,3,1.03E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D330>,,C=CCOC(=O)C1=C(C)N=C2SCCC(=O)N2C1c1ccc(OCCCC)c(OCC)c1
P1679784,1,5,5,4.90E+00,4,1.12E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D390>,,Cc1ccc(C)c(C(=O)C2=C(O)C(=O)N(c3nnc(C)s3)C2c2ccc(C(C)C)cc2)c1
P1682874,1,3,3,4.50E+00,3,9.63E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D3F0>,,Cc1cc2oc(C(=O)Nc3nnc(C(C)C)s3)c(C)c2cc1C
P1685364,1,4,5,4.80E+00,3,1.22E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D450>,,C=CCSc1nnc(NC(=O)c2oc3c(C)c(C)ccc3c2C)s1
P1685368,1,5,6,2.80E+00,2,1.18E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D4B0>,,C=CCSc1nnc(NC(=O)c2cccc(OC)c2)s1
P1685758,1,6,7,4.40E+00,3,1.35E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D510>,,CCCSc1ncc(Cl)c(C(=O)Nc2sc3c(c2C(=O)OC)CCC3)n1
P1686297,1,7,7,5.00E+00,3,1.60E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D570>,,CCSc1ncc(Cl)c(C(=O)Nc2nnc(SCc3ccc(C)cc3)s2)n1
P1686315,0,4,5,2.50E+00,4,5.58E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D5D0>,,COCCCN1C(=O)c2oc3ccccc3c(=O)c2C1c1ccccc1F
P1686431,1,3,5,4.00E+00,4,9.68E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D630>,,COC(=O)c1c(NC(=O)Cc2coc3ccc(C)cc23)sc2c1CCC2
P1686846,2,3,6,4.80E+00,5,9.37E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D690>,,COc1ccc(NC(=O)c2oc3ccccc3c2NC(=O)Cc2coc3ccc(C)cc23)cc1
P1686882,2,4,4,4.20E+00,5,7.85E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D6F0>,,O=C1c2[nH]nc(-c3ccccc3O)c2C(c2ccc(Br)cc2)N1CC1CCCO1
P1687047,1,4,7,4.10E+00,3,1.22E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D750>,,C=CCSc1nnc(NC(=O)Cc2coc3ccc(CC)cc23)s1
P1687127,2,3,7,4.20E+00,4,1.09E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D7B0>,,COCCNC(=O)c1c(NC(=O)Cc2coc3cc(C)cc(C)c23)sc2c1CCCC2
P1688210,1,3,3,4.00E+00,3,5.54E+01,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D810>,,O=C(Nc1cccc(C(F)(F)F)c1)c1cc(=O)c2cc(Cl)ccc2o1
P1688247,1,8,6,2.40E+00,2,1.77E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D870>,,CCCSc1nnc(NC(=O)c2nc(S(C)(=O)=O)ncc2Cl)s1
P1689078,1,7,7,2.70E+00,2,1.24E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D8D0>,,CCCS(=O)(=O)c1ncc(Cl)c(C(=O)Nc2ccccc2C(=O)OC)n1
P1690249,1,5,4,4.60E+00,5,1.12E+02,,<rdkit.Chem.rdchem.Mol object at 0x000002B39245D930>,,Cc1cc(C)c2nc(N3C(=O)C(O)=C(C(=O)c4ccncc4)C3c3ccc(F)cc3)sc2c1
