Molecule ChEMBL ID,SMILES
CHEMBL362308,CSc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1-c1ccc2c(c1)OCO2
CHEMBL171651,CN1C(=O)[C@@H](N)N=C(c2ccccc2)c2ccccc21
CHEMBL70704,O=C(NCCc1c[nH]c2ccccc12)C(=O)c1c[nH]c2ccccc12
CHEMBL50122,CN(C)C(=O)N1Cc2c(-c3noc(C4CC4)n3)ncn2-c2cccc(Cl)c21
CHEMBL49,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1
CHEMBL356061,O=C(NCCCc1ccccc1)C(=O)c1c[nH]c2ccccc12
CHEMBL357164,O=C(NCc1cccc(O)c1)C(=O)c1c[nH]c2ccccc12
CHEMBL91176,O=c1oc2ccccc2c2c1cc(-c1ccccc1)n2-c1ccccc1
CHEMBL88242,Cc1cccc(-n2nnc3c(=O)oc4ccccc4c32)c1
CHEMBL74354,CC(=O)Nc1cc(F)ccc1Oc1ccccc1
CHEMBL71424,O=C(NCCc1ccc(O)c(O)c1)C(=O)c1c[nH]c2ccc(Br)cc12
CHEMBL148040,CCOC(=O)C(Cc1ccc(O)cc1)NC(=O)C(=O)c1c[nH]c2ccc(Cl)cc12
CHEMBL15937,CN(C)Cc1ccc2c(c1)NC(=O)N(C)S2(=O)=O
CHEMBL78772,CCCCc1ccc(C2=NN(S(=O)(=O)c3ccc(-c4ccc5ccccc5c4)cc3)CCC2)cc1
CHEMBL75456,C[C@@H](NC(=O)C(=O)c1c[nH]c2ccc([N+](=O)[O-])cc12)c1ccccc1
CHEMBL315950,NCC(CC(=O)O)c1cc(Br)cs1
CHEMBL87042,CC1CCc2nc3sc4c(c3c(N)c2C1=O)CCCCC4
CHEMBL314482,CCOC(=O)c1c(C)nc2c(cnn2CCC(C)C)c1N
CHEMBL2420455,On1ncc(C2CCNCC2)c1-c1cn(Cc2ccccc2)c(-c2ccccc2)n1
CHEMBL3144860,O=c1c2cnc3ccc(OCc4ccccc4)cc3c2[nH]n1-c1ccccc1
