AUC,ACC,PRE,REC,,,,,,,
RF,ecfp,val,,,,ave,std,,,
0.93835,0.857143,0.903846,0.839286,,,,,,,
,,,,,,,,,,
XGB,ecfp,val,,,,,,,,
0.926875,0.85641,0.844315,0.875374,,,0.928283,0.003385196,0.928283¡À0.0033851963015459,,
0.933695,0.858974,0.832907,0.874103,,,0.8523076,0.005902771,0.8523076¡À0.00590277128135593,,
0.929151,0.853846,0.862666,0.841309,,,0.8410788,0.018532515,0.8410788¡À0.0185325146755641,,
0.926833,0.846154,0.851353,0.858516,,,0.8658726,0.015943782,0.8658726¡À0.0159437824025543,,
0.924861,0.846154,0.814153,0.880061,,,,,,,
,,,,,,,,,,
,,test,,,,,,,,
0.967083,0.918367,0.884615,0.958333,,,0.9413478,0.035029151,0.9413478¡À0.035029151298597,,
0.89214,0.816327,0.814815,0.846154,,,0.8632652,0.058883687,0.8632652¡À0.0588836869446878,,
0.919239,0.785714,0.84,0.763636,,,0.866977,0.038435584,0.866977¡À0.0384355843652728,,
0.976321,0.908163,0.886364,0.906977,,,0.8735914,0.073331271,0.8735914¡À0.0733312711419896,,
0.951956,0.887755,0.909091,0.892857,,,,,,,
,,,,,,,,,,
XGB,maccs,val,,,,,,,,
0.926537,0.853846,0.84318,0.870708,,,0.9308868,0.006893806,0.9308868¡À0.00689380614755011,,
0.929387,0.841026,0.847175,0.811561,,,0.8523078,0.012376737,0.8523078¡À0.0123767368962905,,
0.936763,0.861538,0.8675,0.861022,,,0.8497146,0.010495856,0.8497146¡À0.0104958559822437,,
0.922676,0.838462,0.841044,0.857789,,,0.8553842,0.025550637,0.8553842¡À0.0255506370899044,,
0.939071,0.866667,0.849674,0.875841,,,,,,,
,,,,,,,,,,
,,test,,,,,,,,
0.9725,0.887755,0.893617,0.875,,,0.9536112,0.028229856,0.9536112¡À0.0282298562288227,,
0.91597,0.857143,0.851852,0.884615,,,0.8857142,0.027380205,0.8857142¡À0.0273802051708894,,
0.950951,0.867347,0.92,0.836364,,,0.889912,0.027192739,0.889912¡À0.0271927387090745,,
0.988584,0.928571,0.875,0.976744,,,0.893116,0.051514453,0.893116¡À0.0515144528894561,,
0.940051,0.887755,0.909091,0.892857,,,,,,,
,,,,,,,,,,
XGB,RDKit,val,,,,,,,,
0.933439,0.85641,0.840999,0.882835,,,0.9372696,0.005247854,0.9372696¡À0.00524785439965707,,
0.930152,0.858974,0.850784,0.857664,,,0.8671794,0.010478401,0.8671794¡À0.0104784011328065,,
0.941333,0.864103,0.880588,0.843214,,,0.8615802,0.01778904,0.8615802¡À0.0177890395243813,,
0.939193,0.876923,0.879762,0.887472,,,0.8745944,0.023688317,0.8745944¡À0.0236883173378778,,
0.942231,0.879487,0.855768,0.901787,,,,,,,
,,,,,,,,,,
,,test,,,,,,,,
0.971667,0.908163,0.867925,0.958333,,,0.950315,0.01879311,0.950315¡À0.0187931102934027,,
0.920569,0.887755,0.886792,0.903846,,,0.8795918,0.0232687,0.8795918¡À0.0232687000754232,,
0.951797,0.846939,0.9,0.818182,,,0.8751082,0.029983658,0.8751082¡À0.0299836584275502,,
0.958562,0.867347,0.826087,0.883721,,,0.8949592,0.050903003,0.8949592¡À0.0509030034546096,,
0.94898,0.887755,0.894737,0.910714,,,,,,,
,,,,,,,,,,
SVM,ecfp,val,,,,,,,,
0.919754,0.853846,0.824721,0.896569,,,0.9240422,0.003805375,0.9240422¡À0.00380537464647045,,
0.925074,0.864103,0.883081,0.828029,,,0.8646154,0.011805999,0.8646154¡À0.0118059986574622,,
0.928342,0.869231,0.858554,0.883913,,,0.8601196,0.022124392,0.8601196¡À0.0221243924617152,,
0.920403,0.853846,0.860909,0.854692,,,0.8699466,0.028145202,0.8699466¡À0.0281452024206613,,
0.926638,0.882051,0.873333,0.88653,,,,,,,
,,,,,,,,,,
,,test,,,,,,,,
0.951667,0.908163,0.854545,0.979167,,,0.9319676,0.019616442,0.9319676¡À0.0196164415300023,,
0.901338,0.857143,0.865385,0.865385,,,0.8693878,0.0232687,0.8693878¡À0.0232687000754232,,
0.945032,0.846939,0.9,0.818182,,,0.8735172,0.037702835,0.8735172¡À0.0377028351082515,,
0.926427,0.867347,0.826087,0.883721,,,0.8771482,0.062249436,0.8771482¡À0.0622494358584879,,
0.935374,0.867347,0.921569,0.839286,,,,,,,
,,,,,,,,,,
SVM,maccs,val,,,,,,,,
0.94287,0.874359,0.865608,0.88664,,,0.9459018,0.003193936,0.9459018¡À0.00319393553472827,,
0.946209,0.871795,0.875982,0.860282,,,0.874359,0.004796805,0.874359¡À0.00479680476984421,,
0.94809,0.882051,0.871208,0.89164,,,0.866955,0.008071463,0.866955¡À0.00807146263077519,,
0.942524,0.869231,0.854355,0.902238,,,0.883047,0.016182209,0.883047¡À0.016182208965404,,
0.949816,0.874359,0.867622,0.874435,,,,,,,
,,,,,,,,,,
,maccs,test,,,,,,,,
0.98375,0.897959,0.88,0.916667,,,0.96709,0.022415909,0.96709¡À0.0224159093168223,,
0.934365,0.887755,0.872727,0.923077,,,0.8857142,0.030950264,0.8857142¡À0.0309502644124408,,
0.964059,0.846939,0.934783,0.781818,,,0.9000766,0.026900216,0.9000766¡À0.0269002158783159,,
0.991966,0.928571,0.891304,0.953488,,,0.8828672,0.070457103,0.8828672¡À0.0704571034438686,,
0.96131,0.867347,0.921569,0.839286,,,,,,,
,,,,,,,,,,
SVM,RDKit,val,,,,,,,,
0.947065,0.882051,0.862943,0.90738,,,0.9069966,0.041889199,0.9069966¡À0.0418891992379897,,
0.951482,0.874359,0.865119,0.871965,,,0.7523076,0.130121463,0.7523076¡À0.1301214626524,,
